dice,iou,accuracy,hd95,sensitivity,precision,method,image,tumour_type,seconds
0.39054680259499536,0.24265806748819532,0.92474365234375,67.275453206477,1.0,0.24265806748819532,kmeans,brisc2025_test_00243_gl_sa_t1.jpg,glioma,0.022891998291015625
0.8035859820700897,0.6716621253405994,0.9981613159179688,14.142135623730951,0.9372623574144486,0.703281027104137,kmeans,brisc2025_test_00766_pi_ax_t1.jpg,pituitary,0.029856204986572266
0.6896447922937989,0.5263036985986675,0.9921340942382812,21.587033144922902,0.5270301357257879,0.9973878972572922,kmeans,brisc2025_test_00333_me_ax_t1.jpg,meningioma,0.02627110481262207
0.6878864730858005,0.5242583503453069,0.9582176208496094,39.49171001657642,0.966992469155584,0.5338109769581177,kmeans,brisc2025_test_00046_gl_ax_t1.jpg,glioma,0.03240799903869629
0.8633308439133682,0.759526938239159,0.9993019104003906,3.605551275463989,0.7716955941255007,0.9796610169491525,kmeans,brisc2025_test_00979_pi_sa_t1.jpg,pituitary,0.025098085403442383
0.8799255352156377,0.785595567867036,0.9985237121582031,5.957737973711325,0.8395500296033156,0.924380704041721,kmeans,brisc2025_test_00369_me_ax_t1.jpg,meningioma,0.02559518814086914
0.29199372056514916,0.17095588235294118,0.9913978576660156,13.483193339406046,0.32978723404255317,0.2619718309859155,kmeans,brisc2025_test_00958_pi_sa_t1.jpg,pituitary,0.02144622802734375
0.643860720830788,0.47477477477477475,0.9955520629882812,13.52015495482149,1.0,0.47477477477477475,kmeans,brisc2025_test_00213_gl_sa_t1.jpg,glioma,0.027257680892944336
0.8806584362139918,0.7867647058823529,0.999114990234375,6.0,0.9029535864978903,0.8594377510040161,kmeans,brisc2025_test_00806_pi_ax_t1.jpg,pituitary,0.024275779724121094
0.4039389295646745,0.25308488318338607,0.9198760986328125,67.0,1.0,0.25308488318338607,kmeans,brisc2025_test_00160_gl_co_t1.jpg,glioma,0.03169083595275879
0.721937321937322,0.5648684797146678,0.99627685546875,14.560219778561036,0.7231735159817352,0.7207053469852105,kmeans,brisc2025_test_00701_pi_ax_t1.jpg,pituitary,0.024583101272583008
0.8585949177877429,0.752226296490309,0.9981956481933594,6.0,0.7557894736842106,0.9937716262975779,kmeans,brisc2025_test_00362_me_ax_t1.jpg,meningioma,0.029819011688232422
0.8353514082653329,0.7172561871397898,0.9713668823242188,42.11169644454757,0.9457606914021756,0.7480259281084266,kmeans,brisc2025_test_00493_me_sa_t1.jpg,meningioma,0.019884109497070312
0.9492887029288702,0.9034724434533291,0.9988441467285156,3.105480479109443,0.9145436955820703,0.9867780097425192,kmeans,brisc2025_test_00284_me_ax_t1.jpg,meningioma,0.02120494842529297
0.8403284671532847,0.7246262785208497,0.9973297119140625,7.615773105863909,0.850415512465374,0.830477908025248,kmeans,brisc2025_test_00437_me_co_t1.jpg,meningioma,0.02451801300048828
0.9585987261146497,0.9204892966360856,0.9970245361328125,4.123105625617661,0.9301606922126081,0.9888304862023654,kmeans,brisc2025_test_00323_me_ax_t1.jpg,meningioma,0.030173301696777344
0.7876484560570072,0.6496865203761756,0.9982948303222656,6.4031242374328485,0.7401785714285715,0.8416243654822335,kmeans,brisc2025_test_00867_pi_co_t1.jpg,pituitary,0.024927139282226562
0.8552445810148659,0.7470980847359258,0.9867019653320312,31.661590309122765,0.7505830903790087,0.9938235861802741,kmeans,brisc2025_test_00295_me_ax_t1.jpg,meningioma,0.02160787582397461
0.711437399318668,0.5521170635733902,0.9583168029785156,39.84584590805556,1.0,0.5521170635733902,kmeans,brisc2025_test_00356_me_ax_t1.jpg,meningioma,0.04105806350708008
0.8008213552361396,0.6678082191780822,0.9988899230957031,8.0,0.7779255319148937,0.8251057827926658,kmeans,brisc2025_test_00957_pi_sa_t1.jpg,pituitary,0.022693157196044922
0.5353997886579782,0.3655603655603656,0.9949684143066406,14.159769318686187,0.42865200225606315,0.7129455909943715,kmeans,brisc2025_test_00739_pi_ax_t1.jpg,pituitary,0.02811908721923828
0.630628998060997,0.4605245745441071,0.9222450256347656,61.85466837676846,1.0,0.4605245745441071,kmeans,brisc2025_test_00155_gl_co_t1.jpg,glioma,0.03454995155334473
0.9486699138254028,0.902352102637206,0.9994773864746094,2.0590169943749475,0.9049320943531094,0.9968503937007874,kmeans,brisc2025_test_00733_pi_ax_t1.jpg,pituitary,0.01990795135498047
0.954573357888275,0.9130945390487375,0.99774169921875,5.385164807134504,0.9205268610330029,0.9912350597609562,kmeans,brisc2025_test_00546_me_sa_t1.jpg,meningioma,0.047914981842041016
0.8678782928323463,0.7665945165945166,0.9975318908691406,10.965549442140356,0.7826887661141805,0.9738771769019249,kmeans,brisc2025_test_00934_pi_sa_t1.jpg,pituitary,0.027358055114746094
0.7036545314792817,0.5427986200948685,0.9838218688964844,37.0,0.5427986200948685,1.0,kmeans,brisc2025_test_00462_me_co_t1.jpg,meningioma,0.023045778274536133
0.6955596915713906,0.5332246229107216,0.9956321716308594,16.55294535724685,0.5338775510204081,0.9977116704805492,kmeans,brisc2025_test_00126_gl_co_t1.jpg,glioma,0.03430294990539551
0.6646353849278895,0.49771828414968056,0.9937019348144531,16.446820984663685,0.49771828414968056,1.0,kmeans,brisc2025_test_00167_gl_sa_t1.jpg,glioma,0.030222177505493164
0.7888730385164051,0.6513545347467609,0.998870849609375,12.047791102882504,0.9080459770114943,0.6973518284993695,kmeans,brisc2025_test_00929_pi_sa_t1.jpg,pituitary,0.024493932723999023
0.4468638284042899,0.28771709562670017,0.9870147705078125,28.0,1.0,0.28771709562670017,kmeans,brisc2025_test_00228_gl_sa_t1.jpg,glioma,0.026362180709838867
0.7250521298778672,0.5686915887850468,0.9964790344238281,18.508316817765344,0.5686915887850468,1.0,kmeans,brisc2025_test_00076_gl_ax_t1.jpg,glioma,0.036513566970825195
0.13467945482079757,0.07220177527603377,0.8692169189453125,100.31948963187563,1.0,0.07220177527603377,kmeans,brisc2025_test_00034_gl_ax_t1.jpg,glioma,0.03301692008972168
0.9233223651410908,0.8575662159659196,0.9970664978027344,5.0,0.8615556382582806,0.9946294307196563,kmeans,brisc2025_test_00495_me_sa_t1.jpg,meningioma,0.02433609962463379
0.6432184672382264,0.47407666725013126,0.9426918029785156,49.88278863841097,1.0,0.47407666725013126,kmeans,brisc2025_test_00255_me_ax_t1.jpg,meningioma,0.03646421432495117
0.7156097816410955,0.5571591650358774,0.9792823791503906,38.93132791174003,0.5572045992008481,0.9998536728124086,kmeans,brisc2025_test_00338_me_ax_t1.jpg,meningioma,0.03378796577453613
0.6956846030900373,0.5333714565803448,0.97821044921875,29.92479050115866,0.9236101287310794,0.5579864968806085,kmeans,brisc2025_test_00185_gl_sa_t1.jpg,glioma,0.026433944702148438
0.6291588102913448,0.4589582039222646,0.9767417907714844,33.301651610693426,1.0,0.4589582039222646,kmeans,brisc2025_test_00534_me_sa_t1.jpg,meningioma,0.02766728401184082
0.8748256624825662,0.7775023241400681,0.9972610473632812,14.317821063276353,0.8493568043331077,0.9018691588785047,kmeans,brisc2025_test_00709_pi_ax_t1.jpg,pituitary,0.019491910934448242
0.14751729121503046,0.07963220952911675,0.8109893798828125,117.46283867339035,0.9988350419384903,0.07963960616756456,kmeans,brisc2025_test_00217_gl_sa_t1.jpg,glioma,0.03598737716674805
0.8942154042825183,0.8086705202312139,0.9987373352050781,4.0,0.8105446118192352,0.9971489665003563,kmeans,brisc2025_test_00808_pi_ax_t1.jpg,pituitary,0.0221860408782959
