dice,iou,accuracy,hd95,sensitivity,precision,model,image,tumour_type
0.9300057120260117,0.8691688567674113,0.9939231872558594,9.899494936611665,0.922667829119442,0.9374612454601825,proposed_narrow,brisc2025_test_00164_gl_co_t1.jpg,glioma
0.8158154859967051,0.6889259877573733,0.9978675842285156,9.0,0.9794303797468354,0.6990400903444381,proposed_narrow,brisc2025_test_00276_me_ax_t1.jpg,meningioma
0.8823959094229364,0.7895424836601307,0.9987716674804688,3.0,0.8703170028818443,0.8948148148148148,proposed_narrow,brisc2025_test_00911_pi_co_t1.jpg,pituitary
0.0,0.0,0.9743003845214844,234.23233086635946,0.0,0.0,proposed_narrow,brisc2025_test_00011_gl_ax_t1.jpg,glioma
0.9527070404451102,0.9096853289742541,0.9974708557128906,6.708203932499369,0.9883084208968477,0.9195813825392454,proposed_narrow,brisc2025_test_00546_me_sa_t1.jpg,meningioma
0.9371714211841765,0.8817710022705157,0.9944381713867188,16.55294535724685,0.8946112710818593,0.9839833499230839,proposed_narrow,brisc2025_test_00408_me_co_t1.jpg,meningioma
0.9265471370734528,0.8631465517241379,0.9990310668945312,4.0,0.9,0.9547079856972587,proposed_narrow,brisc2025_test_00343_me_ax_t1.jpg,meningioma
0.9483744026983978,0.9018175338560228,0.9957962036132812,8.06225774829855,0.9690761129727142,0.9285386661774149,proposed_narrow,brisc2025_test_00348_me_ax_t1.jpg,meningioma
0.9666011787819253,0.935361216730038,0.999481201171875,1.4142135623730951,0.9656526005888125,0.967551622418879,proposed_narrow,brisc2025_test_00475_me_co_t1.jpg,meningioma
0.9480397281756403,0.9012124826078315,0.9981040954589844,4.0,0.9039074960127592,0.9967025719938448,proposed_narrow,brisc2025_test_00247_gl_sa_t1.jpg,glioma
0.7782691092861656,0.6370217166494312,0.9986610412597656,6.64718799348606,0.9731437598736177,0.6484210526315789,proposed_narrow,brisc2025_test_00991_pi_sa_t1.jpg,pituitary
0.9639454785285065,0.930400339510539,0.996246337890625,8.602325267042627,0.9713483975779058,0.9566545454545454,proposed_narrow,brisc2025_test_00255_me_ax_t1.jpg,meningioma
0.04005006257822278,0.020434227330779056,0.9912223815917969,78.48108588039517,0.020434227330779056,1.0,proposed_narrow,brisc2025_test_00143_gl_co_t1.jpg,glioma
0.7727719850481999,0.6296890028855402,0.9955940246582031,14.010700654285458,0.9909182643794148,0.6333440825540149,proposed_narrow,brisc2025_test_00761_pi_ax_t1.jpg,pituitary
0.8127890077949531,0.6846205208101491,0.9945945739746094,13.45362404707371,0.9084465445953928,0.7353573989959359,proposed_narrow,brisc2025_test_00412_me_co_t1.jpg,meningioma
0.9531201872728393,0.9104389784629869,0.9941940307617188,8.94427190999916,0.9379812064261898,0.9687558700144011,proposed_narrow,brisc2025_test_00222_gl_sa_t1.jpg,glioma
0.3178378378378378,0.18894601542416453,0.9638938903808594,89.34999256652365,0.1902502157031924,0.9649890590809628,proposed_narrow,brisc2025_test_00210_gl_sa_t1.jpg,glioma
0.9744207599629287,0.9501174769564431,0.9989471435546875,2.23606797749979,0.9851949025487257,0.9638797213054638,proposed_narrow,brisc2025_test_00494_me_sa_t1.jpg,meningioma
0.9505892528922045,0.9058314444673398,0.9982566833496094,3.1622776601683795,0.9542001302365964,0.9470056010340371,proposed_narrow,brisc2025_test_00403_me_co_t1.jpg,meningioma
0.9550202883536217,0.9139127561136814,0.9980125427246094,3.605551275463989,0.9744538407329105,0.936346707296428,proposed_narrow,brisc2025_test_00360_me_ax_t1.jpg,meningioma
0.9667585126014308,0.935655918187601,0.9949836730957031,7.635220762868165,0.9718438707054279,0.9617260976713775,proposed_narrow,brisc2025_test_00292_me_ax_t1.jpg,meningioma
0.9161935044287985,0.8453478625314333,0.9971847534179688,7.0,0.8909010600706714,0.9429640018700327,proposed_narrow,brisc2025_test_00424_me_co_t1.jpg,meningioma
0.7013915005641218,0.5401100492325515,0.987884521484375,55.895734191859596,0.5644673123486683,0.926017874875869,proposed_narrow,brisc2025_test_00042_gl_ax_t1.jpg,glioma
0.0,0.0,0.9886360168457031,101.71035032709275,0.0,0.0,proposed_narrow,brisc2025_test_00083_gl_ax_t1.jpg,glioma
0.7795010114632501,0.6386740331491713,0.9962577819824219,13.732408575056903,0.816,0.7461273666092944,proposed_narrow,brisc2025_test_00892_pi_co_t1.jpg,pituitary
